Date and Time: 09-Aug-2024 16:55:09
---------------------------------
N482 X8.828884 Y4.731934 Z4.747624
N483 X8.836512 Y4.717412 Z4.772999
N484 X8.844140 Y4.702890 Z4.798373
N485 X8.851768 Y4.688367 Z4.823748
N486 X8.859396 Y4.673845 Z4.849123
N487 X8.867024 Y4.659323 Z4.874497
N488 X8.874652 Y4.644801 Z4.899872
N489 X8.882280 Y4.630279 Z4.925247
N490 X8.889908 Y4.615757 Z4.950622
N491 X8.897536 Y4.601235 Z4.975996
N492 X8.905164 Y4.586713 Z5.001371
N493 X8.912792 Y4.572191 Z5.026746
N494 X8.920420 Y4.557669 Z5.052120
N495 X8.928048 Y4.543147 Z5.077495
N496 X8.935676 Y4.528624 Z5.102870
N497 X8.943304 Y4.514102 Z5.128244
N498 X8.950932 Y4.499580 Z5.153619
N499 X8.958560 Y4.485058 Z5.178994
N500 X8.966188 Y4.470536 Z5.204368
N501 X8.973816 Y4.456014 Z5.229743
N502 X8.981444 Y4.441492 Z5.255118
N503 X8.989072 Y4.426970 Z5.280492
N504 X8.996700 Y4.412448 Z5.305867
N505 X9.004328 Y4.397926 Z5.331242
N506 X9.011956 Y4.383404 Z5.356616
N507 X9.019584 Y4.368881 Z5.381991
N508 X9.027212 Y4.354359 Z5.407366
N509 X9.034840 Y4.339837 Z5.432741
N510 X9.042468 Y4.325315 Z5.458115
N511 X9.050096 Y4.310793 Z5.483490
N512 X9.057724 Y4.296271 Z5.508865
N513 X9.065352 Y4.281749 Z5.534239
N514 X9.072980 Y4.267227 Z5.559614
N515 X9.080608 Y4.252705 Z5.584989
N516 X9.088236 Y4.238183 Z5.610363
N517 X9.095864 Y4.223661 Z5.635738
N518 X9.103492 Y4.209138 Z5.661113
N519 X9.111120 Y4.194616 Z5.686487
N520 X9.118748 Y4.180094 Z5.711862
N521 X9.126376 Y4.165572 Z5.737237
N522 X9.134004 Y4.151050 Z5.762611
N523 X9.141632 Y4.136528 Z5.787986
N524 X9.149260 Y4.122006 Z5.813361
N525 X9.156888 Y4.107484 Z5.838735
N526 X9.164516 Y4.092962 Z5.864110
N527 X9.172144 Y4.078440 Z5.889485
N528 X9.179772 Y4.063918 Z5.914860
N529 X9.187400 Y4.049395 Z5.940234
N530 X9.195028 Y4.034873 Z5.965609
N531 X9.202656 Y4.020351 Z5.990984
N532 X9.210284 Y4.005829 Z6.016358
N533 X9.217912 Y3.991307 Z6.041733
N534 X9.225540 Y3.976785 Z6.067108
N535 X9.233168 Y3.962263 Z6.092482
N536 X9.240796 Y3.947741 Z6.117857
N537 X9.248424 Y3.933219 Z6.143232
N538 X9.256052 Y3.918697 Z6.168606
N539 X9.263680 Y3.904174 Z6.193981
N540 X9.271308 Y3.889652 Z6.219356
N541 X9.278936 Y3.875130 Z6.244730
N542 X9.286564 Y3.860608 Z6.270105
N543 X9.294192 Y3.846086 Z6.295480
N544 X9.301820 Y3.831564 Z6.320854
N545 X9.309448 Y3.817042 Z6.346229
N546 X9.317076 Y3.802520 Z6.371604
N547 X9.324704 Y3.787998 Z6.396979
N548 X9.332332 Y3.773476 Z6.422353
N549 X9.339960 Y3.758954 Z6.447728
N550 X9.347588 Y3.744431 Z6.473103
N551 X9.355216 Y3.729909 Z6.498477
N552 X9.362844 Y3.715387 Z6.523852
N553 X9.370472 Y3.700865 Z6.549227
N554 X9.378100 Y3.686343 Z6.574601
N555 X9.385728 Y3.671821 Z6.599976
N556 X9.393356 Y3.657299 Z6.625351
N557 X9.400984 Y3.642777 Z6.650725
N558 X9.408612 Y3.628255 Z6.676100
N559 X9.416240 Y3.613733 Z6.701475
N560 X9.423868 Y3.599211 Z6.726849
N561 X9.431496 Y3.584688 Z6.752224
N562 X9.439124 Y3.570166 Z6.777599
N563 X9.446752 Y3.555644 Z6.802973
N564 X9.454380 Y3.541122 Z6.828348
N565 X9.462008 Y3.526600 Z6.853723
N566 X9.469636 Y3.512078 Z6.879098
N567 X9.477264 Y3.497556 Z6.904472
N568 X9.484892 Y3.483034 Z6.929847
N569 X9.492520 Y3.468512 Z6.955222
N570 X9.500148 Y3.453990 Z6.980596
N571 X9.507776 Y3.439468 Z7.005971
N572 X9.515404 Y3.424945 Z7.031346
N573 X9.523032 Y3.410423 Z7.056720
N574 X9.530660 Y3.395901 Z7.082095
N575 X9.538288 Y3.381379 Z7.107470
N576 X9.545916 Y3.366857 Z7.132844
N577 X9.553544 Y3.352335 Z7.158219
N578 X9.561172 Y3.337813 Z7.183594
N579 X9.568800 Y3.323291 Z7.208968
N580 X9.576428 Y3.308769 Z7.234343
N581 X9.584056 Y3.294247 Z7.259718
N582 X9.591684 Y3.279725 Z7.285092
N583 X9.599312 Y3.265202 Z7.310467
N584 X9.606940 Y3.250680 Z7.335842
N585 X9.614568 Y3.236158 Z7.361217
N586 X9.622196 Y3.221636 Z7.386591
N587 X9.629824 Y3.207114 Z7.411966
N588 X9.637452 Y3.192592 Z7.437341
N589 X9.645080 Y3.178070 Z7.462715
N590 X9.652708 Y3.163548 Z7.488090
N591 X9.660336 Y3.149026 Z7.513465
N592 X9.667964 Y3.134504 Z7.538839
N593 X9.675592 Y3.119982 Z7.564214
N594 X9.683220 Y3.105459 Z7.589589
N595 X9.690848 Y3.090937 Z7.614963
N596 X9.698476 Y3.076415 Z7.640338
N597 X9.706104 Y3.061893 Z7.665713
N598 X9.713732 Y3.047371 Z7.691087
N599 X9.721360 Y3.032849 Z7.716462
N600 X9.728987 Y3.018327 Z7.741837
N601 X9.736615 Y3.003805 Z7.767211
